marca,anio,localizacion,kilometraje,combustible,distintivo_ambiental,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia
KIA Sportage 1.6 T-GDi Drive 150,12/2022,Alicante,13.500 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Negro / Metalizado,23.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:57:04.913191,ref15408296
VOLKSWAGEN Golf 2.0TDI CR BMT Advance DSG 150,09/2015,Madrid,128.000 km,Diesel,C,12 meses,Automático,Berlina,5 asientos,150 cv,3 Puertas,blanco,14.200 €,"AUTOMASER
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 11:57:12.158311,ref15280062
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 81kW,03/2024,Alicante,5.000 km,Gasolina,C,36 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Negro,25.200 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:57:18.826420,ref15407107
VOLKSWAGEN Golf 1.5 TSI R-Line 110kW,12/2023,Alicante,5.000 km,Gasolina,C,36 meses,Manual,Berlina,5 asientos,150 cv,5 Puertas,Rojo,31.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:57:24.131099,ref15407106
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 81kW,04/2024,Alicante,5.000 km,Gasolina,C,36 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Negro,26.100 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:57:31.836831,ref15407105
VOLKSWAGEN Golf 1.5 TSI Más 85kW,07/2024,Alicante,2.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Gris / Metalizado,27.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:57:39.818279,ref15407104
KIA Sportage 1.6 MHEV Drive Plus 4x2 136,07/2021,Málaga,47.000 km,Diesel,ECO,12 meses,Manual,Todo Terreno,5 asientos,136 cv,5 Puertas,Gris,23.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
5,20
litros/100 km",No,2025-02-18 11:58:08.342049,ref15094211
TOYOTA Corolla 125H Active Tech,08/2021,Málaga,37.000 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Berlina,5 asientos,122 cv,5 Puertas,Blanco,21.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:58:15.523839,ref15114246
VOLKSWAGEN T-Roc 1.5 TSI Advance DSG7,06/2021,Málaga,59.000 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Blanco,25.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:58:23.797556,ref15126207
AUDI A1 Sportback 25 TFSI Advanced,09/2022,Málaga,25.000 km,Gasolina,C,18 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Blanco,22.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:58:31.124357,ref15140585
RENAULT Mégane 1.5dCi Blue Life 85kW,11/2021,Málaga,58.000 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Blanco,17.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
3,90
litros/100 km",Si,2025-02-18 11:58:38.263486,ref15138515
VOLKSWAGEN Golf 1.0 TSI 81kW,10/2021,Málaga,47.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,110 cv,5 Puertas,Azul,20.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:58:44.921508,ref15144265
FORD Kuga 1.5 EcoB. Auto S&S Trend 4x2 120,03/2019,Málaga,57.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,120 cv,5 Puertas,Blanco,17.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
6,20
litros/100 km",Si,2025-02-18 11:58:51.593115,ref15140941
NISSAN Qashqai 1.5dCi Acenta 4x2 85kW,11/2020,Málaga,40.000 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,21.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
3,90
litros/100 km",Si,2025-02-18 11:58:58.681734,ref15171933
CITROEN C5 Aircross BlueHDi S&S C-Series EAT8 130,05/2023,Málaga,18 km,Diesel,C,24 meses,Automático,Todo Terreno,5 asientos,130 cv,5 Puertas,Gris,28.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:59:03.658299,ref15144341
KIA Stonic 1.0 T-GDi MHEV Drive 100,01/2024,Málaga,31.000 km,Gasolina,ECO,12 meses,Manual,Todo Terreno,5 asientos,100 cv,5 Puertas,Gris,19.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:59:10.511082,ref15152411
SEAT Arona 1.0 TSI S&S Xperience 110,02/2023,Málaga,46.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Rojo,20.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:59:18.233860,ref15173797
VOLKSWAGEN T-Cross 1.0 TSI Advance,04/2023,Barcelona,22.801 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,95 cv,5 Puertas,Negro,"20.900 €
5%
19.900 €","SUPERWAGEN DasWeltAuto
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:59:24.863915,ref13381721
HONDA Insight 1.3i-VTEC IMA Elegance,04/2009,Alicante,130.000 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Berlina,5 asientos,98 cv,5 Puertas,Blanco / Metalizado,9.500 €,"COCHES TORREVIEJA.
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 11:59:31.365713,ref15421955
VOLKSWAGEN T-Roc 1.5 TSI R-Line 110 kW,09/2024,Madrid,5.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris / Metalizado,33.750 €,"F. Tomé
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:59:38.783086,ref15366956
VOLKSWAGEN Polo 1.0 TSI R-Line 70kW,03/2023,Málaga,15.000 km,Gasolina,C,18 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Azul,20.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:59:44.801266,ref15199149
VOLKSWAGEN T-Cross 1.0 TSI 70kW,04/2024,Madrid,14.153 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,95 cv,5 Puertas,Negro,21.350 €,"F. Tomé
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:59:52.766415,ref15177840
VOLKSWAGEN Golf 1.0 TSI 81kW,10/2021,Málaga,47.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,110 cv,5 Puertas,Azul,20.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:00:30.054031,ref15144265
FORD Kuga 1.5 EcoB. Auto S&S Trend 4x2 120,03/2019,Málaga,57.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,120 cv,5 Puertas,Blanco,17.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
6,20
litros/100 km",Si,2025-02-18 12:00:37.565036,ref15140941
NISSAN Qashqai 1.5dCi Acenta 4x2 85kW,11/2020,Málaga,40.000 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,21.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
3,90
litros/100 km",Si,2025-02-18 12:00:45.126893,ref15171933
CITROEN C5 Aircross BlueHDi S&S C-Series EAT8 130,05/2023,Málaga,18 km,Diesel,C,24 meses,Automático,Todo Terreno,5 asientos,130 cv,5 Puertas,Gris,28.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:00:49.886860,ref15144341
KIA Stonic 1.0 T-GDi MHEV Drive 100,01/2024,Málaga,31.000 km,Gasolina,ECO,12 meses,Manual,Todo Terreno,5 asientos,100 cv,5 Puertas,Gris,19.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:00:56.723508,ref15152411
SEAT Arona 1.0 TSI S&S Xperience 110,02/2023,Málaga,46.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Rojo,20.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:01:01.999805,ref15173797
VOLKSWAGEN T-Cross 1.0 TSI Advance,04/2023,Barcelona,22.801 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,95 cv,5 Puertas,Negro,"20.900 €
5%
19.900 €","SUPERWAGEN DasWeltAuto
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:01:08.320391,ref13381721
HONDA Insight 1.3i-VTEC IMA Elegance,04/2009,Alicante,130.000 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Berlina,5 asientos,98 cv,5 Puertas,Blanco / Metalizado,9.500 €,"COCHES TORREVIEJA.
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 12:01:14.959350,ref15421955
VOLKSWAGEN T-Roc 1.5 TSI R-Line 110 kW,09/2024,Madrid,5.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris / Metalizado,33.750 €,"F. Tomé
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:01:21.466188,ref15366956
VOLKSWAGEN Polo 1.0 TSI R-Line 70kW,03/2023,Málaga,15.000 km,Gasolina,C,18 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Azul,20.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:01:26.745683,ref15199149
VOLKSWAGEN T-Cross 1.0 TSI 70kW,04/2024,Madrid,14.153 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,95 cv,5 Puertas,Negro,21.350 €,"F. Tomé
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:01:32.358149,ref15177840
RENAULT Captur TCe Techno 67kW,03/2024,Málaga,14.000 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,90 cv,5 Puertas,Plata,21.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 12:01:38.767911,ref15201395
TOYOTA Corolla 125H Active Tech,11/2021,Málaga,59.000 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Berlina,5 asientos,122 cv,5 Puertas,Blanco,21.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:01:45.311361,ref15216896
AUDI Q2 35 TFSI Advanced S tronic 110kW,11/2020,Málaga,54.000 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris,26.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:01:51.943205,ref15202325
VOLKSWAGEN T-Roc 1.5 TSI Advance DSG7,06/2021,Málaga,42.000 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Blanco,26.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:01:59.386400,ref15220929
KIA Stonic 1.0 T-GDi MHEV Drive 100,01/2024,Málaga,32.000 km,Gasolina,ECO,12 meses,Manual,Todo Terreno,5 asientos,100 cv,5 Puertas,Gris,19.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:02:04.915141,ref15220671
CITROEN C5 Aircross BlueHDi S&S C-Series EAT8 130,05/2023,Málaga,18 km,Diesel,C,24 meses,Automático,Todo Terreno,5 asientos,130 cv,5 Puertas,Gris,28.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:02:37.680716,ref15144341
KIA Stonic 1.0 T-GDi MHEV Drive 100,01/2024,Málaga,31.000 km,Gasolina,ECO,12 meses,Manual,Todo Terreno,5 asientos,100 cv,5 Puertas,Gris,19.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:02:43.253896,ref15152411
SEAT Arona 1.0 TSI S&S Xperience 110,02/2023,Málaga,46.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Rojo,20.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:02:50.673604,ref15173797
VOLKSWAGEN T-Cross 1.0 TSI Advance,04/2023,Barcelona,22.801 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,95 cv,5 Puertas,Negro,"20.900 €
5%
19.900 €","SUPERWAGEN DasWeltAuto
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:02:58.510054,ref13381721
HONDA Insight 1.3i-VTEC IMA Elegance,04/2009,Alicante,130.000 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Berlina,5 asientos,98 cv,5 Puertas,Blanco / Metalizado,9.500 €,"COCHES TORREVIEJA.
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 12:03:05.687574,ref15421955
VOLKSWAGEN T-Roc 1.5 TSI R-Line 110 kW,09/2024,Madrid,5.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris / Metalizado,33.750 €,"F. Tomé
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:03:11.597789,ref15366956
VOLKSWAGEN Polo 1.0 TSI R-Line 70kW,03/2023,Málaga,15.000 km,Gasolina,C,18 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Azul,20.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:03:18.929722,ref15199149
VOLKSWAGEN T-Cross 1.0 TSI 70kW,04/2024,Madrid,14.153 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,95 cv,5 Puertas,Negro,21.350 €,"F. Tomé
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:03:25.232290,ref15177840
RENAULT Captur TCe Techno 67kW,03/2024,Málaga,14.000 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,90 cv,5 Puertas,Plata,21.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 12:03:31.867925,ref15201395
TOYOTA Corolla 125H Active Tech,11/2021,Málaga,59.000 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Berlina,5 asientos,122 cv,5 Puertas,Blanco,21.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:03:38.742058,ref15216896
AUDI Q2 35 TFSI Advanced S tronic 110kW,11/2020,Málaga,54.000 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris,26.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:03:44.435492,ref15202325
VOLKSWAGEN T-Roc 1.5 TSI Advance DSG7,06/2021,Málaga,42.000 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Blanco,26.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:03:51.317226,ref15220929
KIA Stonic 1.0 T-GDi MHEV Drive 100,01/2024,Málaga,32.000 km,Gasolina,ECO,12 meses,Manual,Todo Terreno,5 asientos,100 cv,5 Puertas,Gris,19.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:03:58.668889,ref15220671
FIAT 500 1.0 Hybrid Dolcevita 52kW,01/2023,Málaga,33.000 km,Gasolina,ECO,12 meses,Manual,Berlina,4 asientos,70 cv,3 Puertas,Azul,14.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:04:06.269898,ref15226012
SEAT Ibiza 1.0 TSI S&S Reference 95,11/2020,Málaga,44.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Blanco,15.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
4,50
litros/100 km",Si,2025-02-18 12:04:11.787456,ref15220956
VOLKSWAGEN Polo 1.0 TSI Life DSG 70kW,02/2024,Madrid,11.805 km,Gasolina,C,12 meses,Automático,Berlina,5 asientos,95 cv,5 Puertas,Gris / Metalizado,22.550 €,"F. Tomé
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:04:19.625848,ref15020190
PEUGEOT 208 1.2 Puretech S&S Active Pack 100,04/2023,Madrid,37.594 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,100 cv,5 Puertas,ROJO ELIXIR / Metalizado,14.900 €,"Modrive Madrid
Profesional","Consumo medio
4,20
litros/100 km",No,2025-02-18 12:04:57.241879,ref15010693
FORD Focus 1.0 Ecoboost MHEV ST-Line X 125,01/2023,Madrid,48.464 km,Gasolina,ECO,12 meses,Manual,Berlina,5 asientos,125 cv,5 Puertas,Rojo Fantastic / Metalizado,20.900 €,"Modrive Madrid
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:05:03.242539,ref15076707
VOLKSWAGEN Golf 2.0 TSI GTI Performance DSG 230,07/2015,Barcelona,168.000 km,Gasolina,C,12 meses,Automático,Berlina,5 asientos,230 cv,3 Puertas,Blanco,18.500 €,"Planxisteria Europa
Profesional","Consumo medio
6,40
litros/100 km",No,2025-02-18 12:05:09.169835,ref14254004
MERCEDES-BENZ Clase V EQV 300 Larga e100,04/2022,,8.540 km,Eléctrico,0 EMISIONES,Sí,Automático,Pequeño,,204 cv,5 Puertas,gris selenita metalizado,49.900 €,"MERCEDES CANARIAS LAS PALMAS
Profesional",,Si,2025-02-18 12:05:16.733564,ref13800403
MERCEDES-BENZ EQB 250,07/2023,,14.720 km,Corriente eléctrica,0 EMISIONES,36 meses,Automático,Todo Terreno,5 asientos,190 cv,5 Puertas,Gris montaña metalizado,39.990 €,"MERCEDES CANARIAS LAS PALMAS
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:05:24.177183,ref14777875
NISSAN Qashqai 1.5dCi N-Connecta 4x2,08/2018,Barcelona,132.000 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Negro,15.000 €,"Planxisteria Europa
Profesional","Consumo medio
3,80
litros/100 km",No,2025-02-18 12:05:31.049507,ref13205190
PEUGEOT 2008 1.5BlueHDi S&S Allure 100,11/2019,Barcelona,58.900 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,100 cv,5 Puertas,Negro,13.800 €,"Planxisteria Europa
Profesional","Consumo medio
3,80
litros/100 km",No,2025-02-18 12:05:37.784974,ref13971883
MERCEDES-BENZ Clase A 180 d,07/2021,Zaragoza,91.500 km,Diésel,,24 meses,Automático,Berlina mediana o grande,5 asientos,116 cv,5 Puertas,PLATA IRIDIO,28.900 €,"MERCEDES AGREDA AUTOMOVIL S.A.
Profesional",,Si,2025-02-18 12:05:44.122299,ref14168946
MERCEDES-BENZ Clase GLB 200 d,07/2023,Zaragoza,26.582 km,Diésel,,36 meses,Automático,"4x4, SUV o pickup",5 asientos,150 cv,5 Puertas,NEGRO NOCHE,43.900 €,"MERCEDES AGREDA AUTOMOVIL S.A.
Profesional",,Si,2025-02-18 12:05:49.250219,ref15197343
PEUGEOT 208 PureTech 73kW (100CV) Allure,10/2020,Barcelona,78.714 km,Gasolina,C,12 meses,Manual,Berlina mediana o grande,,100 cv,5 Puertas,Gris,13.250 €,"STELLANTIS & YOU BARCELONA - SANT FELIÚ
Profesional",,Si,2025-02-18 12:05:54.867308,ref15095729
CITROEN C3 Aircross Puretech S&S C-Series 110,07/2023,Barcelona,29.481 km,Gasolina,C,36 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Gris,16.970 €,"STELLANTIS & YOU BARCELONA - SANT FELIÚ
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:06:02.056749,ref15374711
MINI Mini Cooper Aut.,12/2020,La Coruña,57.815 km,Gasolina,C,24 meses,Automático,Berlina,5 asientos,136 cv,5 Puertas,Gris Plata / Metalizado,27.900 €,"NOVOMOVIL
Profesional","Consumo medio
5,00
litros/100 km",No,2025-02-18 12:06:07.659952,ref15115098
BMW X3 xDrive 20dA,05/2020,La Coruña,87.272 km,Diesel,C,24 meses,Automático,Todo Terreno,5 asientos,190 cv,5 Puertas,Marrón / Metalizado,37.700 €,"NOVOMOVIL
Profesional","Consumo medio
5,10
litros/100 km",No,2025-02-18 12:06:14.189656,ref13832758
NISSAN Juke 1.6 Acenta 4x2 112,02/2019,,90.336 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,112 cv,5 Puertas,Blanco,13.790 €,"SHOPING CAR
Profesional","Consumo medio
6,90
litros/100 km",No,2025-02-18 12:06:20.489508,ref15401172
MINI Mini Cooper Aut.,03/2021,La Coruña,72.224 km,Gasolina,C,24 meses,Automático,Berlina,5 asientos,136 cv,5 Puertas,Negro / Metalizado,27.900 €,"NOVOMOVIL
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:06:28.137227,ref15143626
MINI Countryman C Essential,02/2024,La Coruña,11.378 km,Gasolina,ECO,24 meses,Automático,Todo Terreno,5 asientos,170 cv,5 Puertas,Negro / Metalizado,39.800 €,"NOVOMOVIL
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:06:35.594351,ref15195489
MERCEDES-BENZ Clase C 200 d Berlina,06/2024,Toledo,8.900 km,Diésel,,36 meses,Automático,Berlina mediana o grande,5 asientos,163 cv,4 Puertas,Gris grafito / Metalizado,48.900 €,"AUTOKRATOR
Profesional",,Si,2025-02-18 12:07:05.703937,ref14592739
FIAT 500X 1.3Mjt S&S Urban 4x2,01/2021,Málaga,40.000 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,95 cv,5 Puertas,Blanco,16.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
4,20
litros/100 km",Si,2025-02-18 12:07:12.428172,ref15412519
MERCEDES-BENZ Clase C 200 d Berlina,06/2024,Alicante,8.900 km,Diésel,,36 meses,Automático,Berlina mediana o grande,5 asientos,163 cv,4 Puertas,Gris grafito / Metalizado,48.900 €,"VISAUTO ALICANTE
Profesional",,Si,2025-02-18 12:07:19.950389,ref14593620
MERCEDES-BENZ Clase A 180 d Compacto,08/2024,Alicante,3.200 km,Diésel,,36 meses,Automático,Berlina mediana o grande,5 asientos,116 cv,5 Puertas,Azul espectra / Metalizado,36.700 €,"VISAUTO ALICANTE
Profesional",,Si,2025-02-18 12:07:27.200581,ref14199745
NISSAN Qashqai 1.3 DIG-T mHEV 12V N-Connecta 4x2 103kW,01/2021,Málaga,38.000 km,Gasolina,ECO,12 meses,Manual,Todo Terreno,5 asientos,140 cv,5 Puertas,Gris,20.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:07:35.167155,ref15412797
MINI Mini Cooper D Aut.,06/2019,Madrid,64.000 km,Diesel,C,No,Automático,Berlina,5 asientos,116 cv,5 Puertas,-,"18.900 €
5%
17.900 €","IGL MOTOR
Profesional","Consumo medio
3,90
litros/100 km",No,2025-02-18 12:07:42.575608,ref15234847
MERCEDES-BENZ Clase B 180 d AMG Line (EURO 6d),01/2024,Alicante,20.617 km,Diésel,,36 meses,Automático,Berlina mediana o grande,,116 cv,5 Puertas,Blanco polar,36.900 €,"VISAUTO ALICANTE
Profesional",,Si,2025-02-18 12:07:50.512013,ref15409558
MERCEDES-BENZ EQB 250+,11/2024,Alicante,5.100 km,Corriente eléctrica,0 EMISIONES,36 meses,Automático,Todo Terreno,5 asientos,190 cv,5 Puertas,Plata iridio metalizado,57.900 €,"VISAUTO ALICANTE
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:07:57.424004,ref15409537
RENAULT Captur TCe Techno 67kW,03/2024,Málaga,18.000 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,90 cv,5 Puertas,Gris,21.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 12:08:03.134672,ref15422419
HYUNDAI Tucson 1.6CRDI 48V SLE 4x2,01/2021,Málaga,40.000 km,Diesel,ECO,12 meses,Manual,Todo Terreno,5 asientos,116 cv,5 Puertas,Blanco,22.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
4,20
litros/100 km",Si,2025-02-18 12:08:11.094335,ref15422992
VOLVO XC40 B3 Essential Aut.,11/2024,Toledo,10 km,Gasolina,ECO,No,Automático,Todo Terreno,5 asientos,163 cv,5 Puertas,Crystal White,34.490 €,"GRUPO VIÑARÁS TOLEDO
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:08:17.363777,ref15441981
PEUGEOT 208 1.2 Puretech S&S Active 75,05/2020,Tarragona,63.772 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,75 cv,5 Puertas,AMARILLO - JAUNE MOUTARDE,11.990 €,"GO MOTOR.
Profesional","Consumo medio
4,10
litros/100 km",No,2025-02-18 12:08:24.879606,ref14912591
OPEL Mokka 1.2T S&S GS 136,04/2024,Tarragona,14.871 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,136 cv,5 Puertas,ROJO - KOSMOS RED,20.990 €,"GO MOTOR.
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 12:08:31.878819,ref15308619
VOLKSWAGEN T-Cross 1.0 TSI Edition,01/2022,Málaga,30.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,95 cv,5 Puertas,Blanco,20.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:08:37.728630,ref15426509
VOLKSWAGEN Golf GTE 1.4 TSI,12/2019,Madrid,84.016 km,Híbrido Enchufable,0 EMISIONES,12 meses,Automático,Berlina,5 asientos,204 cv,5 Puertas,Blanco,22.800 €,"JARMAUTO, concesionario oficial Volkswagen
Profesional","Consumo medio
1,60
litros/100 km",Si,2025-02-18 12:08:44.855743,ref15401433
AUDI A4 35 TFSI Advanced S tronic 110kW,08/2019,Málaga,53.000 km,Gasolina,ECO,12 meses,Automático,Berlina,5 asientos,150 cv,4 Puertas,Gris,24.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:08:51.406983,ref15427609
MERCEDES-BENZ Clase CLS 350d 4Matic Aut.,11/2019,Sevilla,209.000 km,Diesel,C,12 meses,Automático,Coupe,5 asientos,286 cv,4 Puertas,Azul / Metalizado,35.990 €,"AUTOS CATA CARS
Profesional","Consumo medio
5,70
litros/100 km",No,2025-02-18 12:09:29.409227,ref15326687
